,pal,concept,guess,color,num_times_picked
3,0,banana,3,#512d5f,0.002
1,0,banana,1,#cc4f1b,0.036
0,0,banana,0,#d0b85a,0.566
2,0,banana,2,#ffffff,0.396
7,0,carrot,3,#512d5f,0.001
5,0,carrot,1,#cc4f1b,0.891
4,0,carrot,0,#d0b85a,0.046
6,0,carrot,2,#ffffff,0.062
11,0,corn,3,#512d5f,0.016
9,0,corn,1,#cc4f1b,0.071
8,0,corn,0,#d0b85a,0.387
10,0,corn,2,#ffffff,0.526
15,0,grape,3,#512d5f,0.981
13,0,grape,1,#cc4f1b,0.002
12,0,grape,0,#d0b85a,0.001
14,0,grape,2,#ffffff,0.016
17,1,cherry,1,#3efe44,0.137
19,1,cherry,3,#512d5f,0.045
16,1,cherry,0,#ea1d1d,0.755
18,1,cherry,2,#f1a78a,0.063
21,1,driving,1,#3efe44,0.627
23,1,driving,3,#512d5f,0.101
20,1,driving,0,#ea1d1d,0.178
22,1,driving,2,#f1a78a,0.094
25,1,peach,1,#3efe44,0.118
27,1,peach,3,#512d5f,0.041
24,1,peach,0,#ea1d1d,0.061
26,1,peach,2,#f1a78a,0.78
29,1,sleeping,1,#3efe44,0.118
31,1,sleeping,3,#512d5f,0.813
28,1,sleeping,0,#ea1d1d,0.006
30,1,sleeping,2,#f1a78a,0.063
35,2,comfort,3,#000000,0.1
34,2,comfort,2,#55824d,0.241
32,2,comfort,0,#a06776,0.444
33,2,comfort,1,#e81a4b,0.215
39,2,leisure,3,#000000,0.153
38,2,leisure,2,#55824d,0.245
36,2,leisure,0,#a06776,0.226
37,2,leisure,1,#e81a4b,0.376
43,2,safety,3,#000000,0.146
42,2,safety,2,#55824d,0.353
40,2,safety,0,#a06776,0.235
41,2,safety,1,#e81a4b,0.266
47,2,working,3,#000000,0.601
46,2,working,2,#55824d,0.161
44,2,working,0,#a06776,0.095
45,2,working,1,#e81a4b,0.143
49,3,celery,1,#5e78a1,0.212
50,3,celery,2,#600b84,0.042
48,3,celery,0,#608218,0.703
51,3,celery,3,#e81a4b,0.043
53,3,efficiency,1,#5e78a1,0.59
54,3,efficiency,2,#600b84,0.073
52,3,efficiency,0,#608218,0.166
55,3,efficiency,3,#e81a4b,0.171
57,3,eggplant,1,#5e78a1,0.06
58,3,eggplant,2,#600b84,0.856
56,3,eggplant,0,#608218,0.078
59,3,eggplant,3,#e81a4b,0.006
61,3,speed,1,#5e78a1,0.138
62,3,speed,2,#600b84,0.029
60,3,speed,0,#608218,0.053
63,3,speed,3,#e81a4b,0.78
67,4,banana,3,#3b3b3b,0.09
65,4,banana,1,#600b84,0.003
66,4,banana,2,#a0bae6,0.06
64,4,banana,0,#fcdb42,0.847
71,4,grape,3,#3b3b3b,0.057
69,4,grape,1,#600b84,0.861
70,4,grape,2,#a0bae6,0.079
68,4,grape,0,#fcdb42,0.003
75,4,leisure,3,#3b3b3b,0.132
73,4,leisure,1,#600b84,0.087
74,4,leisure,2,#a0bae6,0.692
72,4,leisure,0,#fcdb42,0.089
79,4,working,3,#3b3b3b,0.721
77,4,working,1,#600b84,0.049
78,4,working,2,#a0bae6,0.169
76,4,working,0,#fcdb42,0.061
82,5,celery,2,#600b84,0.028
80,5,celery,0,#73cf10,0.926
81,5,celery,1,#ea1d1d,0.009
83,5,celery,3,#f7a75a,0.037
86,5,cherry,2,#600b84,0.006
84,5,cherry,0,#73cf10,0.023
85,5,cherry,1,#ea1d1d,0.937
87,5,cherry,3,#f7a75a,0.034
90,5,eggplant,2,#600b84,0.959
88,5,eggplant,0,#73cf10,0.035
89,5,eggplant,1,#ea1d1d,0.003
91,5,eggplant,3,#f7a75a,0.003
94,5,peach,2,#600b84,0.007
92,5,peach,0,#73cf10,0.016
93,5,peach,1,#ea1d1d,0.051
95,5,peach,3,#f7a75a,0.926
99,6,carrot,3,#55824d,0.158
97,6,carrot,1,#a06776,0.068
96,6,carrot,0,#cc4f1b,0.708
98,6,carrot,2,#fcdb42,0.066
103,6,comfort,3,#55824d,0.208
101,6,comfort,1,#a06776,0.558
100,6,comfort,0,#cc4f1b,0.096
102,6,comfort,2,#fcdb42,0.138
107,6,corn,3,#55824d,0.25
105,6,corn,1,#a06776,0.08
104,6,corn,0,#cc4f1b,0.072
106,6,corn,2,#fcdb42,0.598
111,6,safety,3,#55824d,0.384
109,6,safety,1,#a06776,0.294
108,6,safety,0,#cc4f1b,0.124
110,6,safety,2,#fcdb42,0.198
112,7,driving,0,#184415,0.43
114,7,driving,2,#512d5f,0.165
113,7,driving,1,#7ec6ba,0.212
115,7,driving,3,#e81a4b,0.193
116,7,efficiency,0,#184415,0.25
118,7,efficiency,2,#512d5f,0.197
117,7,efficiency,1,#7ec6ba,0.409
119,7,efficiency,3,#e81a4b,0.144
120,7,sleeping,0,#184415,0.209
122,7,sleeping,2,#512d5f,0.607
121,7,sleeping,1,#7ec6ba,0.175
123,7,sleeping,3,#e81a4b,0.009
124,7,speed,0,#184415,0.111
126,7,speed,2,#512d5f,0.031
125,7,speed,1,#7ec6ba,0.204
127,7,speed,3,#e81a4b,0.654
128,8,carrot,0,#cc4f1b,0.713
130,8,carrot,2,#d5b811,0.075
129,8,carrot,1,#ea1d1d,0.055
131,8,carrot,3,#f1a78a,0.157
132,8,cherry,0,#cc4f1b,0.051
134,8,cherry,2,#d5b811,0.003
133,8,cherry,1,#ea1d1d,0.885
135,8,cherry,3,#f1a78a,0.061
136,8,corn,0,#cc4f1b,0.062
138,8,corn,2,#d5b811,0.866
137,8,corn,1,#ea1d1d,0.008
139,8,corn,3,#f1a78a,0.064
140,8,peach,0,#cc4f1b,0.174
142,8,peach,2,#d5b811,0.056
141,8,peach,1,#ea1d1d,0.052
143,8,peach,3,#f1a78a,0.718
147,9,banana,3,#1c3d61,0.039
146,9,banana,2,#b62ef2,0.051
144,9,banana,0,#d0b85a,0.758
145,9,banana,1,#ea1d1d,0.152
151,9,driving,3,#1c3d61,0.134
150,9,driving,2,#b62ef2,0.078
148,9,driving,0,#d0b85a,0.143
149,9,driving,1,#ea1d1d,0.645
155,9,grape,3,#1c3d61,0.049
154,9,grape,2,#b62ef2,0.745
152,9,grape,0,#d0b85a,0.041
153,9,grape,1,#ea1d1d,0.165
159,9,sleeping,3,#1c3d61,0.778
158,9,sleeping,2,#b62ef2,0.126
156,9,sleeping,0,#d0b85a,0.058
157,9,sleeping,1,#ea1d1d,0.038
163,10,efficiency,3,#3b3b3b,0.157
161,10,efficiency,1,#90689f,0.275
162,10,efficiency,2,#e81a4b,0.153
160,10,efficiency,0,#ffffff,0.415
167,10,leisure,3,#3b3b3b,0.181
165,10,leisure,1,#90689f,0.433
166,10,leisure,2,#e81a4b,0.158
164,10,leisure,0,#ffffff,0.228
171,10,speed,3,#3b3b3b,0.051
169,10,speed,1,#90689f,0.118
170,10,speed,2,#e81a4b,0.636
168,10,speed,0,#ffffff,0.195
175,10,working,3,#3b3b3b,0.611
173,10,working,1,#90689f,0.174
174,10,working,2,#e81a4b,0.053
172,10,working,0,#ffffff,0.162
176,11,celery,0,#0e8a19,0.592
178,11,celery,2,#600b84,0.022
177,11,celery,1,#a06776,0.061
179,11,celery,3,#d0e942,0.325
180,11,comfort,0,#0e8a19,0.107
182,11,comfort,2,#600b84,0.12
181,11,comfort,1,#a06776,0.578
183,11,comfort,3,#d0e942,0.195
184,11,eggplant,0,#0e8a19,0.12
186,11,eggplant,2,#600b84,0.734
185,11,eggplant,1,#a06776,0.08
187,11,eggplant,3,#d0e942,0.066
188,11,safety,0,#0e8a19,0.181
190,11,safety,2,#600b84,0.124
189,11,safety,1,#a06776,0.281
191,11,safety,3,#d0e942,0.414
195,12,cherry,3,#3b3b3b,0.057
193,12,cherry,1,#d5a9e4,0.105
192,12,cherry,0,#ea1d1d,0.777
194,12,cherry,2,#f1a78a,0.061
199,12,leisure,3,#3b3b3b,0.153
197,12,leisure,1,#d5a9e4,0.563
196,12,leisure,0,#ea1d1d,0.087
198,12,leisure,2,#f1a78a,0.197
203,12,peach,3,#3b3b3b,0.038
201,12,peach,1,#d5a9e4,0.205
200,12,peach,0,#ea1d1d,0.07
202,12,peach,2,#f1a78a,0.687
207,12,working,3,#3b3b3b,0.752
205,12,working,1,#d5a9e4,0.127
204,12,working,0,#ea1d1d,0.066
206,12,working,2,#f1a78a,0.055
210,13,banana,2,#000000,0.032
211,13,banana,3,#5e2b3a,0.005
209,13,banana,1,#8cf47e,0.021
208,13,banana,0,#fcdb42,0.942
214,13,celery,2,#000000,0.254
215,13,celery,3,#5e2b3a,0.04
213,13,celery,1,#8cf47e,0.675
212,13,celery,0,#fcdb42,0.031
218,13,eggplant,2,#000000,0.525
219,13,eggplant,3,#5e2b3a,0.323
217,13,eggplant,1,#8cf47e,0.142
216,13,eggplant,0,#fcdb42,0.01
222,13,grape,2,#000000,0.189
223,13,grape,3,#5e2b3a,0.632
221,13,grape,1,#8cf47e,0.162
220,13,grape,0,#fcdb42,0.017
226,14,carrot,2,#5e78a1,0.059
224,14,carrot,0,#ac6619,0.784
225,14,carrot,1,#d0b85a,0.116
227,14,carrot,3,#e81a4b,0.041
230,14,corn,2,#5e78a1,0.211
228,14,corn,0,#ac6619,0.101
229,14,corn,1,#d0b85a,0.617
231,14,corn,3,#e81a4b,0.071
234,14,efficiency,2,#5e78a1,0.583
232,14,efficiency,0,#ac6619,0.07
233,14,efficiency,1,#d0b85a,0.158
235,14,efficiency,3,#e81a4b,0.189
238,14,speed,2,#5e78a1,0.147
236,14,speed,0,#ac6619,0.045
237,14,speed,1,#d0b85a,0.109
239,14,speed,3,#e81a4b,0.699
243,15,comfort,3,#000000,0.036
240,15,comfort,0,#a06776,0.477
242,15,comfort,2,#d0e942,0.267
241,15,comfort,1,#ea1d1d,0.22
247,15,driving,3,#000000,0.157
244,15,driving,0,#a06776,0.1
246,15,driving,2,#d0e942,0.217
245,15,driving,1,#ea1d1d,0.526
251,15,safety,3,#000000,0.039
248,15,safety,0,#a06776,0.268
250,15,safety,2,#d0e942,0.478
249,15,safety,1,#ea1d1d,0.215
255,15,sleeping,3,#000000,0.768
252,15,sleeping,0,#a06776,0.155
254,15,sleeping,2,#d0e942,0.038
253,15,sleeping,1,#ea1d1d,0.039
